# Iteration 0
Image 0:
0.006349 0.020762 0.151505
0.375501 0.056007 0.172821
-0.052886 0.133034 -0.070690
0.117565 -0.110113 -0.105014
-0.070364 -0.030911 -0.108715
-0.109957 0.019216 0.005825
0.021268 0.033007 0.109055
0.005802 -0.048548 -0.129249
0.010714 -0.085450 0.213565
0.040465 0.045351 0.104028
-0.096019 0.039273 -0.011199
0.056536 0.020054 -0.088275
-0.056509 0.098714 0.080834
0.000584 -0.016710 0.179577
-0.072606 0.189654 -0.042590
-0.403781 0.202118 -0.307316
0.011310 -0.037138 0.197687
0.065276 -0.123441 -0.016648
-0.005178 0.038629 0.127692
0.021467 0.071721 0.062289
-0.037538 -0.047353 -0.110937
0.087650 -0.028506 -0.046265
0.037270 0.131171 -0.083591

Image 18:
-0.552842 0.237074 0.315778
4.017800 -2.830475 1.417668
-2.301265 0.219164 0.679190
0.288582 -0.074036 0.010784
-3.014619 2.009029 -1.895562
0.060590 -0.040674 0.071113
-0.480848 0.165168 0.025900
0.041322 -0.007702 0.026463
-0.192908 0.103459 0.005589
0.220791 0.365542 -0.065600
-0.032311 0.031705 0.000347
0.060408 -0.656530 -0.143738
1.449685 0.016752 -0.791980
0.028555 0.265835 -0.023807
-0.017995 0.043214 0.084162
0.077654 -0.070515 -0.067594
0.336612 -0.219636 0.061191
-0.003002 0.017167 0.141771
0.340392 0.033067 0.222546
-0.038429 0.136406 -0.069861
0.103857 -0.087807 -0.112305
-0.067676 -0.032641 -0.107574
-0.112540 0.017185 0.000875
0.024014 0.039918 0.104832
-0.008345 -0.052321 -0.121139
0.000941 -0.069308 0.192758
0.041161 0.044775 0.102327
-0.097592 0.040001 -0.011285
0.056930 0.021705 -0.088373
-0.117384 0.118403 0.127048
-0.032227 -0.045562 0.101551
0.010751 0.088243 0.009498
-0.295423 0.213135 -0.245999
0.039984 -0.076392 0.123976
0.073366 -0.110670 -0.013952
-0.009518 0.027984 0.119730
0.021191 0.076818 0.044692
-0.042799 -0.047846 -0.112197
0.092041 -0.031712 -0.041650
0.031097 0.122079 -0.077172

Image 19:
-0.394231 0.276357 0.186728
3.192580 -2.126862 1.255239
-1.710694 0.187445 0.433571
0.206773 -0.065401 -0.002455
-2.434157 1.518465 -1.536839
0.050011 -0.025257 0.057759
-0.337107 0.137776 0.012381
0.026059 -0.002375 0.019530
-0.140270 0.070216 0.012451
0.131716 0.261743 -0.016645
-0.026728 0.029108 -0.001522
0.075269 -0.420713 -0.158388
0.988198 -0.013817 -0.665965
0.018386 0.184461 -0.009682
-0.015678 0.028259 0.076954
0.135710 -0.111030 -0.129035
0.195644 -0.226792 0.211600
-0.012173 0.012770 0.132575
0.279698 0.008735 0.249753
-0.023514 0.136579 -0.068131
0.088324 -0.061457 -0.116705
-0.063665 -0.034157 -0.104743
-0.115085 0.013792 -0.003773
0.027154 0.047205 0.101261
-0.025348 -0.058438 -0.113085
-0.006810 -0.055999 0.167077
0.041373 0.043710 0.099706
-0.098946 0.039783 -0.011260
0.056734 0.023687 -0.088190
-0.163961 0.120862 0.150593
-0.053355 -0.074527 0.017383
0.083824 -0.008347 0.067409
-0.173718 0.203690 -0.185211
0.035861 -0.099760 0.043370
0.082815 -0.092566 -0.010624
-0.015557 0.016977 0.111590
0.020499 0.084338 0.023162
-0.046531 -0.047081 -0.107772
0.097113 -0.035347 -0.033826
0.023789 0.113967 -0.066238

Image 20:
-0.208213 0.224888 0.083365
1.929386 -1.206067 0.812658
-0.970480 0.136032 0.279861
0.115924 -0.047286 -0.013106
-1.483252 0.836135 -0.933104
0.031019 -0.006445 0.042287
-0.184638 0.090980 -0.010791
0.008829 0.006083 0.007487
-0.081634 0.041216 0.013632
0.056134 0.130183 0.026970
-0.019750 0.026798 -0.003602
0.046348 -0.196574 -0.118737
0.521563 -0.019981 -0.481618
0.011031 0.096065 0.004288
-0.011142 0.010854 0.055335
0.140016 -0.122902 -0.145889
0.066712 -0.180240 0.247857
-0.020598 0.007085 0.123875
0.182202 -0.012449 0.222829
-0.008855 0.133902 -0.065118
0.071165 -0.030502 -0.119746
-0.058536 -0.035391 -0.100213
-0.116717 0.008096 -0.008066
0.030353 0.054707 0.098273
-0.045732 -0.064580 -0.103222
-0.012512 -0.045527 0.138963
0.041432 0.042353 0.096471
-0.099835 0.038612 -0.011121
0.056114 0.025932 -0.087674
-0.166489 0.093904 0.130126
-0.057049 -0.087564 -0.048772
0.112525 -0.066513 0.096836
-0.044444 0.170132 -0.123801
0.012123 -0.104222 -0.030046
0.092962 -0.070036 -0.006742
-0.023473 0.006008 0.104011
0.019527 0.093637 -0.000338
-0.049563 -0.045791 -0.098320
0.101842 -0.039356 -0.022689
0.015701 0.107825 -0.052409

Image 21:
