 ----------------------------------------------------------------------
 #P 
 ----------------------------------------------------------------------

  and normal coordinates:

                       1                       2                       3            
                       A                       A                       A            
 Frequencies --       -205.1182               -37.3765               -22.0162       
  Atom  AN      X      Y        Z       X      Y        Z       X      Y        Z 
    16   1    0.03    0.04    0.05    0.00    0.01    0.01    0.00    0.01   -0.14
    17   1    0.03    0.04    0.06    0.02    0.04    0.04    0.04   -0.02   -0.03
    18   1    0.03    0.04    0.05    0.02    0.04   -0.05   -0.02   -0.04    0.03
    19   1    0.03    0.04    0.05    0.01    0.06   -0.01    0.09   -0.09   -0.07
    20   1    0.02    0.04    0.05   -0.00   -0.01   -0.08   -0.02    0.00    0.05
    21   1    0.02    0.03    0.05   -0.04   -0.03   -0.02    0.04   -0.02    0.01
    22   1    0.02    0.03    0.05   -0.04   -0.01    0.04    0.02   -0.08   -0.02
    23   1    0.03    0.03    0.05    0.02    0.04    0.07    0.01    0.01   -0.02
    24   1    0.03    0.04    0.05    0.05    0.03    0.02   -0.00    0.08   -0.04
    25   1    0.03    0.04    0.06   -0.01    0.03    0.05    0.02   -0.00    0.14
    26   1    0.03    0.04    0.06    0.02    0.02    0.04    0.08    0.11    0.08
    27   1    0.02    0.04    0.05    0.01    0.01   -0.03   -0.02    0.01   -0.14
    28   1    0.02    0.03    0.05   -0.01   -0.00    0.01   -0.00   -0.05   -0.15
    29   1    0.02    0.03    0.05   -0.03   -0.02   -0.03    0.01   -0.08   -0.13
    30   1    0.03    0.04    0.06   -0.19    0.05   -0.07   -0.13    0.03   -0.05
    31   1    0.03    0.03    0.06    0.23   -0.22   -0.03    0.11   -0.13   -0.03
    32   1    0.03    0.04    0.06    0.06    0.06    0.36    0.02    0.04    0.19
    33   1    0.03    0.04    0.05   -0.02   -0.03    0.02   -0.08    0.01   -0.04
    34   1    0.03    0.04    0.06   -0.01   -0.04    0.07   -0.06    0.00   -0.02
    35   1    0.03    0.04    0.05    0.02    0.03   -0.11   -0.02    0.00    0.06
    36   1    0.03    0.04    0.05    0.04    0.06   -0.09   -0.04   -0.07    0.06
    37   1    0.02    0.04    0.05    0.02    0.02   -0.14   -0.04    0.00    0.12
    38   1    0.02    0.04    0.05   -0.05   -0.05   -0.05    0.06    0.03    0.02
    39   1    0.02    0.04    0.05   -0.03   -0.06   -0.09    0.05    0.15    0.05
    40   1    0.02    0.04    0.05   -0.01   -0.05   -0.10   -0.06    0.09    0.04

                       10                      11                      12           
                       A                       A                       A            
 Frequencies --        129.7160               134.0146               177.7222       
  Atom  AN      X      Y        Z       X      Y        Z       X      Y        Z 
     1   6   -0.01    0.01    0.07   -0.01    0.01    0.01   -0.01   -0.01    0.01
     2   6   -0.00   -0.00    0.04    0.00    0.01   -0.01   -0.01   -0.02   -0.04
     3   6    0.01    0.03   -0.01   -0.01   -0.01   -0.01   -0.03    0.03   -0.01
     4   6    0.01   -0.01    0.01    0.00    0.00   -0.01    0.00   -0.02   -0.01
     5   6    0.01    0.01    0.04    0.00   -0.01   -0.01   -0.03    0.00    0.00
     6   6    0.01    0.01    0.02    0.01    0.01   -0.11    0.01   -0.00   -0.03
     7   6    0.01    0.00    0.04   -0.02   -0.02   -0.05   -0.01   -0.00   -0.00
     8   6   -0.01   -0.04    0.01   -0.01   -0.01    0.03   -0.01    0.01   -0.02
     9   6    0.00    0.01    0.03    0.07    0.01    0.07   -0.06   -0.00   -0.05
    10   6    0.01    0.01    0.05    0.03    0.00    0.02   -0.01    0.02    0.04
    11   6   -0.06   -0.05   -0.10   -0.03   -0.01    0.01    0.01    0.02    0.02
    12   6   -0.01    0.03   -0.09   -0.02    0.00   -0.02    0.11   -0.03    0.06
    13   6    0.00    0.08   -0.02   -0.02   -0.00   -0.03   -0.03    0.11   -0.02
    14   6    0.05   -0.01   -0.04   -0.08    0.04    0.05    0.00   -0.03    0.01
    15   6   -0.02   -0.06   -0.00    0.11   -0.04    0.04    0.04   -0.04    0.01
    16   1    0.01   -0.01    0.14    0.00    0.00    0.04    0.01   -0.02    0.05
    17   1   -0.01   -0.03    0.01   -0.01    0.00   -0.01    0.01   -0.04   -0.06
    18   1    0.03    0.03    0.02   -0.01    0.11   -0.13    0.01    0.03   -0.03
    19   1   -0.07    0.06    0.08   -0.03    0.02    0.02   -0.07    0.01    0.02
    20   1    0.02    0.01    0.00    0.03   -0.03   -0.20    0.02   -0.02   -0.06
    21   1    0.01   -0.01    0.04   -0.07   -0.04   -0.06   -0.02   -0.02   -0.00
    22   1    0.01   -0.11    0.03   -0.07   -0.02    0.07    0.01    0.04   -0.05
    23   1    0.00    0.00    0.03    0.07    0.05    0.14   -0.07   -0.05   -0.11
    24   1    0.01    0.03    0.01    0.14   -0.01    0.04   -0.14    0.04   -0.04
    25   1    0.01   -0.01    0.07   -0.00    0.03    0.03    0.00   -0.07    0.13
    26   1    0.03    0.03    0.06    0.05   -0.03    0.01    0.05    0.11    0.07
    27   1   -0.06    0.02   -0.14    0.05    0.00   -0.04    0.01   -0.02    0.05
    28   1   -0.07   -0.09   -0.11   -0.04   -0.01    0.11    0.02    0.03    0.01
    29   1   -0.08   -0.11   -0.13   -0.12   -0.02   -0.04    0.04    0.04    0.04
    30   1   -0.03   -0.01   -0.10   -0.00   -0.00   -0.00    0.19   -0.07    0.13
    31   1   -0.00    0.09   -0.12   -0.04    0.02   -0.01    0.04   -0.10    0.14
    32   1   -0.03    0.01   -0.13   -0.03   -0.01   -0.04    0.20    0.02   -0.00
    33   1    0.02    0.08    0.03   -0.03    0.00   -0.03   -0.13    0.17   -0.05
    34   1   -0.02    0.11   -0.09   -0.03    0.01   -0.05    0.07    0.12   -0.00
    35   1    0.04   -0.03   -0.05   -0.07    0.07    0.13   -0.00   -0.05    0.01
    36   1    0.08    0.03   -0.02   -0.16    0.05    0.02   -0.01   -0.04    0.00
    37   1    0.07   -0.02   -0.07   -0.09    0.04    0.04    0.02   -0.03    0.01
    38   1   -0.08    0.03   -0.00    0.14   -0.04    0.01   -0.01    0.08   -0.02
    39   1   -0.07   -0.16   -0.03    0.09   -0.08    0.11   -0.02   -0.17   -0.00
    40   1    0.09   -0.07    0.01    0.16   -0.05    0.02    0.18   -0.05    0.05

                       13                      14                      15           
                       A                       A                       A            
 Frequencies --        193.0795               207.4775               220.4327       
  Atom  AN      X      Y        Z       X      Y        Z       X      Y        Z 
     1   6    0.00    0.02    0.04    0.03    0.01   -0.01    0.02   -0.03   -0.07
     2   6    0.02   -0.01    0.02    0.02    0.01    0.01   -0.01    0.01    0.05
     3   6   -0.02   -0.01   -0.00   -0.02    0.01    0.01    0.03   -0.00    0.06
     4   6   -0.01    0.01    0.00    0.03    0.01   -0.01   -0.00   -0.01   -0.04
     5   6    0.00   -0.03    0.03    0.02    0.02    0.02   -0.01    0.01    0.06
     6   6   -0.02   -0.02   -0.00    0.03    0.02   -0.02    0.00    0.00   -0.06
     7   6    0.00   -0.04    0.01    0.02    0.01    0.00   -0.02   -0.02    0.01
     8   6    0.02   -0.02   -0.01   -0.01   -0.02   -0.03   -0.01   -0.01    0.00
     9   6   -0.01   -0.01   -0.02   -0.08   -0.05   -0.08   -0.03    0.00   -0.00
    10   6    0.02   -0.00    0.05    0.03   -0.00    0.03   -0.03    0.00    0.02
    11   6    0.14   -0.01    0.03   -0.07   -0.01    0.07    0.04   -0.01   -0.00
    12   6   -0.03   -0.02   -0.05   -0.07    0.03   -0.02   -0.02    0.00   -0.05
    13   6   -0.04    0.02   -0.03   -0.02   -0.03    0.01    0.05    0.03    0.07
    14   6   -0.05    0.10   -0.03    0.03    0.01   -0.00   -0.04   -0.03    0.01
    15   6   -0.02   -0.01   -0.00    0.07   -0.02    0.01    0.02    0.05   -0.03
    16   1    0.03    0.02    0.09    0.02    0.00   -0.03   -0.06   -0.03   -0.20
    17   1    0.04   -0.04   -0.01    0.03    0.01    0.01   -0.01    0.05    0.10
    18   1   -0.02   -0.02   -0.00    0.03    0.05   -0.02    0.01    0.07   -0.06
    19   1   -0.04    0.06    0.05    0.05   -0.01   -0.01    0.17   -0.08   -0.11
    20   1   -0.04   -0.02   -0.01    0.03    0.01   -0.05    0.01   -0.03   -0.12
    21   1    0.01   -0.06    0.01    0.03   -0.01    0.01   -0.04   -0.07    0.00
    22   1    0.02    0.03   -0.03    0.05    0.00   -0.09   -0.01    0.01   -0.00
    23   1   -0.02   -0.04   -0.06   -0.10   -0.14   -0.19   -0.03    0.00   -0.02
    24   1   -0.06    0.02   -0.02   -0.22    0.02   -0.06   -0.04    0.01    0.00
    25   1    0.02   -0.05    0.11    0.06   -0.10    0.10   -0.01   -0.00   -0.00
    26   1    0.05    0.06    0.07    0.07    0.09    0.06   -0.06    0.00    0.02
    27   1    0.05   -0.06    0.10   -0.06   -0.06    0.10    0.04   -0.02    0.01
    28   1    0.18    0.07   -0.12   -0.10   -0.05    0.15    0.06    0.03   -0.03
    29   1    0.29   -0.02    0.11   -0.13    0.10    0.07    0.08   -0.03    0.01
    30   1   -0.06   -0.04   -0.07   -0.17    0.06   -0.10   -0.05   -0.04   -0.06
    31   1   -0.00    0.01   -0.08    0.03    0.02   -0.10    0.00    0.09   -0.10
    32   1   -0.04   -0.02   -0.05   -0.10    0.03    0.08   -0.06   -0.03   -0.09
    33   1   -0.04    0.02   -0.02    0.02   -0.06    0.02    0.07    0.04    0.13
    34   1   -0.07    0.03   -0.08   -0.07   -0.04    0.01    0.05    0.06    0.03
    35   1   -0.02    0.17   -0.02    0.02   -0.01    0.02    0.00    0.06   -0.06
    36   1   -0.04    0.12   -0.03    0.02    0.04   -0.01   -0.01   -0.18    0.02
    37   1   -0.13    0.10   -0.08    0.06    0.00   -0.02   -0.14    0.01    0.13
    38   1    0.00   -0.07    0.01    0.12   -0.09    0.01   -0.08    0.26   -0.07
    39   1    0.00    0.04    0.02    0.09    0.03    0.06   -0.07   -0.13   -0.10
    40   1   -0.07   -0.01   -0.04    0.02   -0.02   -0.04    0.21    0.05    0.10

                       16                      17                      18           
                       A                       A                       A            
 Frequencies --        249.5727               252.9813               265.4764       
  Atom  AN      X      Y        Z       X      Y        Z       X      Y        Z 
     1   6   -0.01   -0.00   -0.02   -0.00   -0.02    0.01   -0.02   -0.01    0.00
     2   6   -0.02    0.01    0.03   -0.01   -0.00    0.02   -0.01    0.01    0.01
     3   6    0.01    0.01    0.03    0.03   -0.01    0.01    0.06   -0.02   -0.01
     4   6    0.00   -0.01   -0.03   -0.02   -0.02    0.00   -0.04   -0.01    0.00
     5   6   -0.02    0.00    0.03    0.00    0.00    0.01    0.03    0.02   -0.02
     6   6    0.00   -0.00   -0.03   -0.01   -0.02    0.01   -0.03    0.01   -0.01
     7   6   -0.02   -0.01    0.01   -0.00   -0.01   -0.01   -0.01    0.02   -0.04
     8   6   -0.01   -0.00    0.02    0.01    0.01   -0.02   -0.01    0.02   -0.02
