# Iteration 0
Image 0:
0.555133 0.399503 0.511994
0.241352 0.003887 -0.206098
-0.201013 0.248188 0.165747
0.257472 0.225981 0.108185
0.305010 0.181423 0.072335
0.257342 -0.200845 -0.166280
0.198609 -0.246731 -0.184275
-0.255749 -0.216592 -0.121895
-0.305830 -0.175507 -0.090682
-0.254258 0.201791 0.166928
-0.150019 0.319578 -0.258219
-0.011461 0.194530 0.280803
-0.338189 -0.257468 0.062305

Image 7:
0.114063 0.180649 -0.122931
0.277568 -0.114264 1.245016
-0.053628 -0.053899 -0.567627
-0.092441 -0.002870 -0.442239
-0.167268 0.025287 0.148599
-0.042553 0.141946 -0.133713
0.260533 -0.066282 0.174134
-0.202839 -0.025637 0.412036
-0.357118 -0.002443 -0.112008
0.341212 -0.104007 -0.044128
0.397440 0.110829 -0.037685
0.000815 0.097754 0.066239
0.065781 0.244158 0.132644
0.002713 -0.269897 -0.145709
-0.016786 -0.117327 -0.053406
0.124746 0.053869 -0.020076
0.310049 -0.032541 -0.043518
-0.316739 -0.003236 0.043125
-0.085028 0.023092 0.037430
-0.078220 -0.257364 -0.147870
-0.072333 -0.224127 -0.142269
0.025973 0.197964 0.153021
0.019546 0.105279 0.143726
-0.099452 0.164840 -0.045355
-0.190160 0.191680 0.150709
0.051536 0.110026 0.142870
0.257628 0.184316 0.078908
0.173614 -0.162197 -0.082550
0.207310 -0.202584 -0.167175
-0.199981 0.008440 0.008038
-0.256337 -0.180068 -0.097141
2.268550 0.238732 0.620480
-2.796028 -0.900158 -1.453526
-0.019560 -0.237189 0.198077
-0.260227 0.212989 -0.255406
0.584094 0.427040 0.589226
0.251319 -0.016109 -0.307912
-0.202756 0.245883 0.168817
0.257699 0.223188 0.108087
0.303350 0.182217 0.071463
0.257278 -0.202655 -0.165800
0.199856 -0.247172 -0.180498
-0.256835 -0.216358 -0.120370
-0.306349 -0.176877 -0.091656
-0.254249 0.202530 0.166502
-0.152868 0.326854 -0.235089
0.022493 0.159125 0.263482
-0.295411 -0.243423 0.093027

Image 8:
0.018597 0.346171 -0.155814
0.195855 -0.280710 0.773775
-0.060333 -0.165547 -0.579135
-0.071128 -0.039862 -0.470381
-0.172544 0.034374 0.183775
-0.039261 0.129325 -0.121053
0.295325 -0.080588 0.219024
-0.243813 -0.026717 0.433748
-0.337757 0.007936 -0.122686
0.323001 -0.089902 -0.048011
0.427159 0.103810 -0.033310
0.011694 0.095904 0.065603
0.063234 0.240536 0.122828
0.003717 -0.261881 -0.139773
