# Iteration 0
Image 0:
0.010318 -0.362359 0.121233
-0.041254 -0.367442 -0.130127
0.075509 0.190933 0.080171
0.308785 0.062998 -0.018582
-0.014804 -0.064940 -0.017445
0.034677 0.014081 -0.083258
-0.005602 -0.166788 0.099810
-0.128851 0.045115 -0.017272
0.070721 0.042352 0.038562
0.465526 1.494029 -1.383821
-0.341720 0.166688 -0.009477
0.065529 0.046071 0.009825
-0.091670 0.161905 -0.058472
0.085201 -0.074324 -0.173238

Image 6:
-0.113450 -0.118321 -0.092455
0.070824 -0.071186 0.104428
-0.004882 -0.961974 0.018852
0.782751 -0.175886 -0.165511
-0.566800 0.687422 1.585197
0.601632 -1.568127 -0.114259
-1.054384 0.644176 0.312550
0.020368 -1.210003 -0.139370
0.109743 0.233358 0.131044
-0.183655 0.490914 0.271852
0.021766 0.418501 -0.641754
-1.690480 0.629411 0.616857
0.444227 -0.021851 -0.137727
1.183380 -0.187720 -0.223137
1.181607 -0.307367 1.133124
-0.659155 0.410617 -1.205464
0.064344 -0.116576 -0.069435
-0.055168 0.007353 0.091091
-0.033954 0.065389 -0.045022
0.117733 0.063058 0.048637
0.037966 -0.060037 0.045381
0.009566 -0.034524 -0.043838
-0.118937 -0.010649 0.002650
0.060502 -0.045531 0.067005
0.003293 0.404849 0.112634
-0.009422 -0.005697 -0.162270
0.033059 -0.125553 -0.006319
0.008588 0.025591 -0.068979
-0.896221 0.196669 0.001975
-0.093322 -0.147776 0.049845
0.042821 0.002643 0.015658
-0.441781 0.199784 1.819460
0.587623 -0.605560 -1.509245
-0.080143 0.007785 0.085181
-0.069618 0.013893 -0.044916
0.031564 -0.051602 -0.038904
0.055216 0.017519 -0.046212
-0.091575 0.035786 0.001639
-0.011065 -0.403254 0.091617
-0.002753 -0.388201 -0.124538
0.053708 0.176395 0.047258
0.340112 0.070514 -0.052003
-0.028321 -0.089803 -0.014283
0.055090 -0.004212 -0.097829
-0.011279 -0.171889 0.100637
-0.139335 0.050929 -0.020661
0.077317 0.051708 0.046660
0.622369 1.665806 -1.532565
-0.357879 0.180067 0.013221
0.076986 0.052199 0.008783
-0.066528 0.160244 -0.073422
0.085953 -0.079279 -0.153115

Image 7:
-0.098275 -0.135803 -0.088421
0.068631 -0.089106 0.099284
-0.031431 -1.035961 0.023437
0.801861 -0.197365 -0.220802
-0.608841 0.621408 1.723981
0.636852 -1.755570 -0.167997
-1.100839 0.673591 0.360116
0.000801 -1.164654 -0.208905
0.117202 0.248521 0.130686
-0.178886 0.492833 0.301423
0.034035 0.429065 -0.586860
-1.795758 0.720358 0.571748
0.469806 -0.043174 -0.086473
1.191324 -0.165368 -0.246268
1.178749 -0.303012 1.110213
-0.638878 0.412050 -1.169481
0.081991 -0.102728 -0.059524
-0.053270 0.008635 0.092412
-0.036615 0.063202 -0.045466
0.118784 0.064609 0.051203
0.040998 -0.039336 0.040271
0.000317 -0.030093 -0.035921
-0.120430 -0.014132 0.001033
0.055796 -0.046488 0.068749
0.017682 0.457416 0.133894
-0.015473 -0.000917 -0.169699
0.027285 -0.124646 0.000127
0.008265 0.019371 -0.083993
-0.909076 0.204567 0.015961
-0.122791 -0.135718 0.046736
0.042744 0.005702 0.005958
-0.523422 0.371597 1.864522
0.562140 -0.705762 -1.459601
-0.037705 -0.004698 0.103133
-0.061849 0.006053 -0.030625
0.029392 -0.053676 -0.041850
0.051683 0.017073 -0.047220
-0.092676 0.036704 0.000843
-0.036766 -0.430018 0.054598
0.041981 -0.410580 -0.145201
0.029354 0.152756 0.018631
0.332831 0.073333 -0.074084
-0.034890 -0.100208 -0.009470
0.071726 -0.027672 -0.100723
-0.016718 -0.160829 0.093179
-0.138728 0.053500 -0.021715
0.078026 0.053120 0.047867
0.819956 1.768454 -1.686962
-0.392523 0.194192 0.029319
